Experiment ID,Primary target structure,Group,Layer,transgenic-line,strain,gender,injection-coordinates,injection-volume
166153483,AId,AI/GI/DI,L5,Rbp4-Cre_KL100,unknown,M,"[3300, 4300, 8100]",0.345466
166271142,RSP,Rsp,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[7700, 1200, 6000]",0.094002
166323186,SSp-ll,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[6200, 1500, 7700]",0.035333
166323896,ACAd,d/vACC,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[4200, 2000, 6100]",0.163949
166324604,VISp,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[8600, 1300, 8100]",0.077434
166461899,VISl,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[9500, 2300, 9300]",0.032779
167794131,VISal,Vis,L5,Rbp4-Cre_KL100,unknown,F,"[8600, 1700, 8800]",0.115341
168002073,MOp,M1/2,L234,Cux2-IRES-Cre,unknown,M,"[3800, 1900, 7100]",0.202714
168003640,SSp-bfd,S1/2,L234,Cux2-IRES-Cre,unknown,M,"[6100, 2100, 8900]",0.231043
168163498,SSs,S1/2,L5,Rbp4-Cre_KL100,unknown,M,"[5800, 3600, 9700]",0.242035
168164972,ORBl,LO/VO,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[2700, 3700, 7000]",0.288391
168165712,PTLp,Ptl,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[7900, 1100, 7400]",0.015441
171276330,SSp-bfd,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[5900, 2100, 8700]",0.012751
174361746,AIp,AI/GI/DI,All,WT,C57BL/6J,M,"[6300, 4700, 9900]",0.363888
176430283,AUDd,Aud,L234,Cux2-IRES-Cre,unknown,M,"[7800, 2400, 9500]",0.293934
178488859,PRE,Sub,NA,Satb2-Cre_MO23,unknown,F,"[9600, 4100, 8600]",0.737451
180719293,MOp,M1/2,All,WT,C57BL/6J,M,"[2400, 3000, 7700]",0.769831
180917660,VISC,AI/GI/DI,All,WT,C57BL/6J,M,"[5600, 4400, 9800]",1.16191
181600380,AUDp,Aud,L5,Gpr26-Cre_KO250,unknown,M,"[7900, 2700, 9800]",0.041505
182226839,CA1,Sub,NA,Vipr2-Cre_KE2,unknown,M,"[9200, 3700, 9500]",0.175034
182294687,BMAp,Amyg,NA,Rbp4-Cre_KL100,unknown,F,"[7100, 6500, 8500]",0.217468
182467026,SSp-bfd,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[6400, 2000, 9000]",0.01632
182616478,MOp,M1/2,L234,Cux2-IRES-Cre,unknown,F,"[6200, 1200, 6900]",0.120931
182794184,ECT,Ect/Peri/Tem,L5,Rbp4-Cre_KL100,B6.Cg,F,"[9700, 4000, 9800]",0.066608
183461297,ACAd,d/vACC,L234,Cux2-IRES-Cre,unknown,F,"[5300, 2100, 5900]",0.086148
183470468,ACAv,d/vACC,L234,Cux2-IRES-Cre,unknown,F,"[5500, 2100, 5900]",0.182905
183471174,ORBl,LO/VO,L234,Cux2-IRES-Cre,unknown,F,"[2500, 3600, 7100]",0.204871
184167484,PTLp,Ptl,L234,Cux2-IRES-Cre,B6.Cg,F,"[8000, 800, 7300]",0.12762
184168899,AId,AI/GI/DI,L234,Grp-Cre_KH288,B6;FVB;ICR,M,"[3600, 4700, 8800]",0.094153
263106036,PL,PrL/MO,L5,Rbp4-Cre_KL100,unknown,M,"[3700, 3500, 6000]",0.321523
263242463,MOs,FrA,L5,Rbp4-Cre_KL100,unknown,F,"[2600, 2700, 7200]",0.169063
263780729,VISam,Vis,L234,Cux2-IRES-Cre,unknown,M,"[9000, 1400, 7900]",0.171675
264629246,SSp-ll,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[6400, 1400, 7400]",0.011544
264630019,VISl,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[9400, 2600, 9600]",0.029828
266486371,SSp-bfd,S1/2,L234,Cux2-IRES-Cre,B6.Cg,F,"[7200, 1300, 8700]",0.105705
266487079,VISal,Vis,L234,Cux2-IRES-Cre,B6.Cg,M,"[8700, 1700, 8900]",0.108468
266644610,SSp-ll,S1/2,L234,Cux2-IRES-Cre,unknown,F,"[6100, 1400, 7600]",0.136925
272414403,ECT,Ect/Peri/Tem,All,WT,C57BL/6J,M,"[9500, 3600, 9800]",0.258675
272735030,SSp-bfd,S1/2,L5,Rbp4-Cre_KL100,B6.Cg,M,"[7400, 1600, 8500]",0.081838
272735744,RSP,Rsp,L234,Cux2-IRES-Cre,B6.Cg,M,"[8200, 800, 6000]",0.091458
272737914,GU,AI/GI/DI,All,WT,C57BL/6J,M,"[4200, 4700, 9100]",0.195609
272821309,VISp,Vis,L234,Cux2-IRES-Cre,B6.Cg,F,"[8800, 1000, 8100]",0.126388
277710753,BLAa,Amyg,All,WT,C57BL/6J,M,"[6300, 5900, 8800]",0.211792
278317239,ECT,Ect/Peri/Tem,L234,Cux2-IRES-Cre,B6.129,M,"[9900, 4100, 10000]",0.287965
278317945,SSp-m,S1/2,L234,Cux2-IRES-Cre,B6.129,M,"[5100, 2200, 9000]",0.143174
283019341,ORBm,PrL/MO,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[3500, 3400, 6100]",0.386955
283020912,VISp,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[8600, 1200, 8000]",0.043266
286299886,MOs,FrA,L234,Cux2-IRES-Cre,B6.Cg,F,"[2200, 3000, 7300]",0.062127
286300594,SSp-ll,S1/2,L234,Cux2-IRES-Cre,B6.Cg,M,"[5300, 1700, 8100]",0.162377
286312782,SSp-ul,S1/2,L5,Rbp4-Cre_KL100,B6.Cg,F,"[5200, 2200, 8000]",0.080407
286313491,ILA,IL,L5,Rbp4-Cre_KL100,B6.Cg,F,"[3900, 3500, 6100]",0.16043
286610216,SUBv,Sub,NA,Syt17-Cre_NO14,B6.Cg,F,"[8600, 5300, 9300]",0.082374
286610923,CA1,Sub,NA,Syt17-Cre_NO14,B6.Cg,M,"[8900, 3700, 9600]",0.188479
287494320,ILA,IL,L234,Cux2-IRES-Cre,B6.Cg,F,"[3900, 3500, 6100]",0.172357
287495026,VISal,Vis,L234,Cux2-IRES-Cre,B6.Cg,F,"[9200, 2100, 9300]",0.111757
287769286,ORBvl,LO/VO,L5,Rbp4-Cre_KL100,B6.Cg,F,"[2900, 3700, 6900]",0.274778
292373346,RSPv,Rsp,L5,A930038C07Rik-Tg1-Cre,unknown,F,"[8700, 1500, 6700]",0.091962
292374068,MOp,M1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[3300, 2600, 7600]",0.119589
292374777,PL,PrL/MO,L5,A930038C07Rik-Tg1-Cre,unknown,F,"[3600, 3300, 6100]",0.1849
292476595,MOs,FrA,L5,A930038C07Rik-Tg1-Cre,unknown,F,"[2800, 2800, 7700]",0.072795
292532065,CA1,Sub,NA,Ppp1r17-Cre_NL146,FVB/N-Crl:CD1(ICR),M,"[8600, 2100, 8000]",0.212305
292792016,SSp-ul,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[5200, 2000, 8000]",0.010348
292792724,PTLp,Ptl,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[7900, 1300, 8200]",0.032602
293471629,ORBm,PrL/MO,L234,Cux2-IRES-Cre,B6.Cg,M,"[3000, 3300, 6000]",0.168764
294396492,PL,PrL/MO,L234,Cux2-IRES-Cre,B6.Cg,F,"[3400, 3200, 6100]",0.05761
294481346,VISam,Vis,L5,Rbp4-Cre_KL100,unknown,F,"[8700, 1100, 7300]",0.127075
294482052,VISp,Vis,L5,Rbp4-Cre_KL100,B6.Cg,M,"[8800, 1300, 8200]",0.05166
294484177,RSPagl,Rsp,L234,Cux2-IRES-Cre,B6.Cg,F,"[9800, 900, 7100]",0.066937
296048512,AI,AI/GI/DI,L5,Rbp4-Cre_KL100,B6.Cg,M,"[3600, 4500, 8200]",0.367829
297652799,SSp-tr,S1/2,L5,Rbp4-Cre_KL100,B6.Cg,F,"[6400, 1400, 7600]",0.308236
298324391,VISam,Vis,L5,A930038C07Rik-Tg1-Cre,unknown,M,"[8900, 1000, 7400]",0.01477
